content,month_str,year_str,value
Acquisitions,2003-08,2003,34
Acquisitions,2003-09,2003,12
Acquisitions,2003-10,2003,40
Acquisitions,2003-11,2003,44
Acquisitions,2003-12,2003,11
Acquisitions,2004-01,2004,27
Acquisitions,2004-02,2004,9
Acquisitions,2004-03,2004,24
Acquisitions,2004-04,2004,11
Acquisitions,2004-05,2004,11
Acquisitions,2004-06,2004,12
Acquisitions,2004-07,2004,12
Acquisitions,2004-08,2004,9
Acquisitions,2004-09,2004,19
Acquisitions,2004-10,2004,17
Acquisitions,2004-11,2004,8
Acquisitions,2004-12,2004,20
Acquisitions,2005-01,2005,36
Acquisitions,2005-02,2005,21
Acquisitions,2005-03,2005,20
Acquisitions,2005-04,2005,17
Acquisitions,2005-05,2005,18
Acquisitions,2005-06,2005,19
Acquisitions,2005-07,2005,24
Acquisitions,2005-08,2005,28
Acquisitions,2005-09,2005,23
Acquisitions,2005-10,2005,25
Acquisitions,2005-11,2005,19
Acquisitions,2005-12,2005,23
Acquisitions,2006-01,2006,62
Acquisitions,2006-02,2006,19
Acquisitions,2006-03,2006,21
Acquisitions,2006-04,2006,29
Acquisitions,2006-05,2006,26
Acquisitions,2006-06,2006,27
Acquisitions,2006-07,2006,26
Acquisitions,2006-08,2006,24
Acquisitions,2006-09,2006,26
Acquisitions,2006-10,2006,36
Acquisitions,2006-11,2006,33
Acquisitions,2006-12,2006,29
Acquisitions,2007-01,2007,50
Acquisitions,2007-02,2007,36
Acquisitions,2007-03,2007,41
Acquisitions,2007-04,2007,36
Acquisitions,2007-05,2007,57
Acquisitions,2007-06,2007,47
Acquisitions,2007-07,2007,50
Acquisitions,2007-08,2007,42
Acquisitions,2007-09,2007,39
Acquisitions,2007-10,2007,55
Acquisitions,2007-11,2007,40
Acquisitions,2007-12,2007,42
Acquisitions,2008-01,2008,90
Acquisitions,2008-02,2008,54
Acquisitions,2008-03,2008,57
Acquisitions,2008-04,2008,97
Acquisitions,2008-05,2008,142
Acquisitions,2008-06,2008,81
Acquisitions,2008-07,2008,149
Acquisitions,2008-08,2008,94
Acquisitions,2008-09,2008,121
Acquisitions,2008-10,2008,99
Acquisitions,2008-11,2008,68
Acquisitions,2008-12,2008,78
Acquisitions,2009-01,2009,126
Acquisitions,2009-02,2009,86
Acquisitions,2009-03,2009,78
Acquisitions,2009-04,2009,103
Acquisitions,2009-05,2009,61
Acquisitions,2009-06,2009,90
Acquisitions,2009-07,2009,94
Acquisitions,2009-08,2009,79
Acquisitions,2009-09,2009,96
Acquisitions,2009-10,2009,109
Acquisitions,2009-11,2009,121
Acquisitions,2009-12,2009,155
Acquisitions,2010-01,2010,176
Acquisitions,2010-02,2010,120
Acquisitions,2010-03,2010,134
Acquisitions,2010-04,2010,123
Acquisitions,2010-05,2010,137
Acquisitions,2010-06,2010,162
Acquisitions,2010-07,2010,105
Acquisitions,2010-08,2010,102
Acquisitions,2010-09,2010,159
Acquisitions,2010-10,2010,127
Acquisitions,2010-11,2010,112
Acquisitions,2010-12,2010,159
Acquisitions,2011-01,2011,239
Acquisitions,2011-02,2011,130
Acquisitions,2011-03,2011,149
Acquisitions,2011-04,2011,143
Acquisitions,2011-05,2011,153
Acquisitions,2011-06,2011,172
Acquisitions,2011-07,2011,186
Acquisitions,2011-08,2011,151
Acquisitions,2011-09,2011,143
Acquisitions,2011-10,2011,121
Acquisitions,2011-11,2011,122
Acquisitions,2011-12,2011,144
Acquisitions,2012-01,2012,177
Acquisitions,2012-02,2012,132
Acquisitions,2012-03,2012,133
Acquisitions,2012-04,2012,124
Acquisitions,2012-05,2012,149
Acquisitions,2012-06,2012,129
Acquisitions,2012-07,2012,138
Acquisitions,2012-08,2012,125
Acquisitions,2012-09,2012,137
Acquisitions,2012-10,2012,140
Acquisitions,2012-11,2012,135
Acquisitions,2012-12,2012,123
Acquisitions,2013-01,2013,176
Acquisitions,2013-02,2013,117
Acquisitions,2013-03,2013,113
Acquisitions,2013-04,2013,106
Acquisitions,2013-05,2013,179
Acquisitions,2013-06,2013,154
Acquisitions,2013-07,2013,153
Acquisitions,2013-08,2013,153
Acquisitions,2013-09,2013,166
Acquisitions,2013-10,2013,194
Acquisitions,2013-11,2013,160
Acquisitions,2013-12,2013,200
Acquisitions,2014-01,2014,232
Acquisitions,2014-02,2014,186
Acquisitions,2014-03,2014,184
Acquisitions,2014-04,2014,223
Acquisitions,2014-05,2014,215
Acquisitions,2014-06,2014,279
Acquisitions,2014-07,2014,265
Acquisitions,2014-08,2014,223
Acquisitions,2014-09,2014,264
Acquisitions,2014-10,2014,280
Acquisitions,2014-11,2014,213
Acquisitions,2014-12,2014,225
Acquisitions,2015-01,2015,236
Acquisitions,2015-02,2015,254
Acquisitions,2015-03,2015,247
Acquisitions,2015-04,2015,245
Acquisitions,2015-05,2015,222
Acquisitions,2015-06,2015,237
Acquisitions,2015-07,2015,254
Acquisitions,2015-08,2015,200
Acquisitions,2015-09,2015,2
IPOs,1959-01,1959,1
IPOs,1961-01,1961,1
IPOs,1965-01,1965,2
IPOs,1966-02,1966,1
IPOs,1967-01,1967,1
IPOs,1970-06,1970,1
IPOs,1971-01,1971,1
IPOs,1976-05,1976,1
IPOs,1977-05,1977,1
IPOs,1978-01,1978,333
IPOs,1978-02,1978,2
IPOs,1978-04,1978,2
IPOs,1978-05,1978,1
IPOs,1978-06,1978,8
IPOs,1978-07,1978,1
IPOs,1979-01,1979,2
IPOs,1979-04,1979,1
IPOs,1979-06,1979,2
IPOs,1979-08,1979,1
IPOs,1979-11,1979,1
IPOs,1979-12,1979,1
IPOs,1980-03,1980,1
IPOs,1980-04,1980,1
IPOs,1980-06,1980,3
IPOs,1980-07,1980,1
IPOs,1980-08,1980,2
IPOs,1980-10,1980,1
IPOs,1980-11,1980,2
IPOs,1980-12,1980,5
IPOs,1981-01,1981,2
IPOs,1981-02,1981,1
IPOs,1981-03,1981,1
IPOs,1981-04,1981,4
IPOs,1981-05,1981,4
IPOs,1981-06,1981,3
IPOs,1981-07,1981,5
IPOs,1981-08,1981,3
IPOs,1981-09,1981,1
IPOs,1981-10,1981,3
IPOs,1981-11,1981,3
IPOs,1981-12,1981,3
IPOs,1982-01,1982,3
IPOs,1982-02,1982,4
IPOs,1982-03,1982,1
IPOs,1982-04,1982,2
IPOs,1982-05,1982,1
IPOs,1982-06,1982,1
IPOs,1982-09,1982,1
IPOs,1982-10,1982,1
IPOs,1982-11,1982,1
IPOs,1982-12,1982,1
IPOs,1983-01,1983,2
IPOs,1983-03,1983,3
IPOs,1983-04,1983,1
IPOs,1983-05,1983,4
IPOs,1983-06,1983,2
IPOs,1983-07,1983,4
IPOs,1983-08,1983,6
IPOs,1983-09,1983,4
IPOs,1983-10,1983,6
IPOs,1983-11,1983,3
IPOs,1983-12,1983,12
IPOs,1984-01,1984,5
IPOs,1984-02,1984,3
IPOs,1984-03,1984,4
IPOs,1984-04,1984,2
IPOs,1984-05,1984,3
IPOs,1984-06,1984,4
IPOs,1984-07,1984,2
IPOs,1984-08,1984,4
IPOs,1984-10,1984,2
IPOs,1984-12,1984,2
IPOs,1985-02,1985,1
IPOs,1985-03,1985,1
IPOs,1985-04,1985,1
IPOs,1985-05,1985,3
IPOs,1985-06,1985,3
IPOs,1985-07,1985,1
IPOs,1985-08,1985,6
IPOs,1985-09,1985,3
IPOs,1985-10,1985,3
IPOs,1985-11,1985,2
IPOs,1985-12,1985,3
IPOs,1986-01,1986,1
IPOs,1986-02,1986,3
IPOs,1986-03,1986,3
IPOs,1986-04,1986,6
IPOs,1986-05,1986,6
IPOs,1986-06,1986,6
IPOs,1986-07,1986,5
IPOs,1986-08,1986,7
IPOs,1986-09,1986,7
IPOs,1986-10,1986,1
IPOs,1986-11,1986,5
IPOs,1986-12,1986,5
IPOs,1987-01,1987,3
IPOs,1987-02,1987,3
IPOs,1987-03,1987,2
IPOs,1987-04,1987,4
IPOs,1987-05,1987,2
IPOs,1987-06,1987,9
IPOs,1987-07,1987,4
IPOs,1987-08,1987,8
IPOs,1987-09,1987,2
IPOs,1987-10,1987,4
IPOs,1987-12,1987,2
IPOs,1988-02,1988,1
IPOs,1988-03,1988,1
IPOs,1988-04,1988,5
IPOs,1988-06,1988,2
IPOs,1988-07,1988,4
IPOs,1988-08,1988,3
IPOs,1988-09,1988,1
IPOs,1988-10,1988,8
IPOs,1988-11,1988,3
IPOs,1989-01,1989,2
IPOs,1989-02,1989,2
IPOs,1989-03,1989,1
IPOs,1989-04,1989,2
IPOs,1989-05,1989,2
IPOs,1989-06,1989,4
IPOs,1989-07,1989,1
IPOs,1989-08,1989,1
IPOs,1989-09,1989,1
IPOs,1989-10,1989,5
IPOs,1989-11,1989,5
IPOs,1989-12,1989,3
IPOs,1990-01,1990,24
IPOs,1990-02,1990,3
IPOs,1990-03,1990,12
IPOs,1990-04,1990,2
IPOs,1990-05,1990,7
IPOs,1990-06,1990,2
IPOs,1990-07,1990,6
IPOs,1990-08,1990,2
IPOs,1990-10,1990,2
IPOs,1990-11,1990,1
IPOs,1990-12,1990,4
IPOs,1991-01,1991,6
IPOs,1991-02,1991,1
IPOs,1991-03,1991,3
IPOs,1991-04,1991,4
IPOs,1991-05,1991,6
IPOs,1991-06,1991,5
IPOs,1991-07,1991,4
IPOs,1991-08,1991,7
IPOs,1991-09,1991,2
IPOs,1991-10,1991,2
IPOs,1991-11,1991,5
IPOs,1991-12,1991,5
IPOs,1992-01,1992,13
IPOs,1992-02,1992,6
IPOs,1992-03,1992,9
IPOs,1992-04,1992,2
IPOs,1992-05,1992,11
IPOs,1992-06,1992,11
IPOs,1992-07,1992,2
IPOs,1992-08,1992,5
IPOs,1992-09,1992,2
IPOs,1992-10,1992,7
IPOs,1992-11,1992,7
IPOs,1992-12,1992,8
IPOs,1993-01,1993,7
IPOs,1993-02,1993,6
IPOs,1993-03,1993,8
IPOs,1993-04,1993,12
IPOs,1993-05,1993,7
IPOs,1993-06,1993,7
IPOs,1993-07,1993,7
IPOs,1993-08,1993,7
IPOs,1993-09,1993,5
IPOs,1993-10,1993,12
IPOs,1993-11,1993,15
IPOs,1993-12,1993,15
IPOs,1994-01,1994,12
IPOs,1994-02,1994,6
IPOs,1994-03,1994,15
IPOs,1994-04,1994,9
IPOs,1994-05,1994,3
IPOs,1994-06,1994,6
IPOs,1994-07,1994,9
IPOs,1994-08,1994,4
IPOs,1994-09,1994,3
IPOs,1994-10,1994,6
IPOs,1994-11,1994,10
IPOs,1994-12,1994,8
IPOs,1995-01,1995,8
IPOs,1995-02,1995,6
IPOs,1995-03,1995,6
IPOs,1995-04,1995,5
IPOs,1995-05,1995,4
IPOs,1995-06,1995,14
IPOs,1995-07,1995,5
IPOs,1995-08,1995,7
IPOs,1995-09,1995,7
IPOs,1995-10,1995,9
IPOs,1995-11,1995,15
IPOs,1995-12,1995,16
IPOs,1996-01,1996,16
IPOs,1996-02,1996,6
IPOs,1996-03,1996,8
IPOs,1996-04,1996,9
IPOs,1996-05,1996,15
IPOs,1996-06,1996,10
IPOs,1996-07,1996,9
IPOs,1996-08,1996,10
IPOs,1996-09,1996,6
IPOs,1996-10,1996,13
IPOs,1996-11,1996,16
IPOs,1996-12,1996,11
IPOs,1997-01,1997,41
IPOs,1997-02,1997,50
IPOs,1997-03,1997,34
IPOs,1997-04,1997,29
IPOs,1997-05,1997,28
IPOs,1997-06,1997,52
IPOs,1997-07,1997,53
IPOs,1997-08,1997,11
IPOs,1997-09,1997,6
IPOs,1997-10,1997,72
IPOs,1997-11,1997,79
IPOs,1997-12,1997,39
IPOs,1998-01,1998,24
IPOs,1998-02,1998,8
IPOs,1998-03,1998,38
IPOs,1998-04,1998,46
IPOs,1998-05,1998,52
IPOs,1998-06,1998,56
IPOs,1998-07,1998,55
IPOs,1998-08,1998,26
IPOs,1998-09,1998,8
IPOs,1998-10,1998,7
IPOs,1998-11,1998,18
IPOs,1998-12,1998,32
IPOs,1999-01,1999,33
IPOs,1999-02,1999,44
IPOs,1999-03,1999,26
IPOs,1999-04,1999,75
IPOs,1999-05,1999,30
IPOs,1999-06,1999,69
IPOs,1999-07,1999,69
IPOs,1999-08,1999,47
IPOs,1999-09,1999,42
IPOs,1999-10,1999,65
IPOs,1999-11,1999,18
IPOs,1999-12,1999,48
IPOs,2000-01,2000,69
IPOs,2000-02,2000,15
IPOs,2000-03,2000,15
IPOs,2000-04,2000,24
IPOs,2000-05,2000,6
IPOs,2000-06,2000,31
IPOs,2000-07,2000,23
IPOs,2000-08,2000,23
IPOs,2000-09,2000,24
IPOs,2000-10,2000,14
IPOs,2000-11,2000,12
IPOs,2000-12,2000,12
IPOs,2001-01,2001,8
IPOs,2001-02,2001,14
IPOs,2001-03,2001,11
IPOs,2001-04,2001,6
IPOs,2001-05,2001,3
IPOs,2001-06,2001,24
IPOs,2001-07,2001,10
IPOs,2001-08,2001,12
IPOs,2001-09,2001,4
IPOs,2001-10,2001,18
IPOs,2001-11,2001,18
IPOs,2001-12,2001,23
IPOs,2002-01,2002,12
IPOs,2002-02,2002,15
IPOs,2002-03,2002,13
IPOs,2002-04,2002,12
IPOs,2002-05,2002,18
IPOs,2002-06,2002,32
IPOs,2002-07,2002,13
IPOs,2002-08,2002,6
IPOs,2002-09,2002,4
IPOs,2002-10,2002,12
IPOs,2002-11,2002,15
IPOs,2002-12,2002,15
IPOs,2003-01,2003,96
IPOs,2003-02,2003,5
IPOs,2003-03,2003,7
IPOs,2003-04,2003,3
IPOs,2003-05,2003,6
IPOs,2003-06,2003,7
IPOs,2003-07,2003,17
IPOs,2003-08,2003,13
IPOs,2003-09,2003,17
IPOs,2003-10,2003,28
IPOs,2003-11,2003,28
IPOs,2003-12,2003,26
IPOs,2004-01,2004,11
IPOs,2004-02,2004,20
IPOs,2004-03,2004,17
IPOs,2004-04,2004,24
IPOs,2004-05,2004,18
IPOs,2004-06,2004,42
IPOs,2004-07,2004,42
IPOs,2004-08,2004,26
IPOs,2004-09,2004,23
IPOs,2004-10,2004,40
IPOs,2004-11,2004,26
IPOs,2004-12,2004,40
IPOs,2005-01,2005,18
IPOs,2005-02,2005,32
IPOs,2005-03,2005,14
IPOs,2005-04,2005,19
IPOs,2005-05,2005,19
IPOs,2005-06,2005,11
IPOs,2005-07,2005,33
IPOs,2005-08,2005,40
IPOs,2005-09,2005,22
IPOs,2005-10,2005,20
IPOs,2005-11,2005,27
IPOs,2005-12,2005,30
IPOs,2006-01,2006,24
IPOs,2006-02,2006,39
IPOs,2006-03,2006,21
IPOs,2006-04,2006,24
IPOs,2006-05,2006,21
IPOs,2006-06,2006,30
IPOs,2006-07,2006,16
IPOs,2006-08,2006,18
IPOs,2006-09,2006,20
IPOs,2006-10,2006,34
IPOs,2006-11,2006,46
IPOs,2006-12,2006,36
IPOs,2007-01,2007,14
IPOs,2007-02,2007,31
IPOs,2007-03,2007,24
IPOs,2007-04,2007,24
IPOs,2007-05,2007,44
IPOs,2007-06,2007,39
IPOs,2007-07,2007,40
IPOs,2007-08,2007,25
IPOs,2007-09,2007,7
IPOs,2007-10,2007,36
IPOs,2007-11,2007,44
IPOs,2007-12,2007,29
IPOs,2008-01,2008,20
IPOs,2008-02,2008,14
IPOs,2008-03,2008,10
IPOs,2008-04,2008,4
IPOs,2008-05,2008,19
IPOs,2008-06,2008,8
IPOs,2008-07,2008,10
IPOs,2008-08,2008,13
IPOs,2008-09,2008,8
IPOs,2008-10,2008,7
IPOs,2008-11,2008,7
IPOs,2008-12,2008,7
IPOs,2009-01,2009,9
IPOs,2009-02,2009,8
IPOs,2009-03,2009,23
IPOs,2009-04,2009,11
IPOs,2009-05,2009,17
IPOs,2009-06,2009,18
IPOs,2009-07,2009,26
IPOs,2009-08,2009,24
IPOs,2009-09,2009,23
IPOs,2009-10,2009,34
IPOs,2009-11,2009,22
IPOs,2009-12,2009,19
IPOs,2010-01,2010,21
IPOs,2010-02,2010,15
IPOs,2010-03,2010,19
IPOs,2010-04,2010,32
IPOs,2010-05,2010,20
IPOs,2010-06,2010,22
IPOs,2010-07,2010,37
IPOs,2010-08,2010,14
IPOs,2010-09,2010,15
IPOs,2010-10,2010,26
IPOs,2010-11,2010,38
IPOs,2010-12,2010,30
IPOs,2011-01,2011,35
IPOs,2011-02,2011,25
IPOs,2011-03,2011,12
IPOs,2011-04,2011,34
IPOs,2011-05,2011,33
IPOs,2011-06,2011,23
IPOs,2011-07,2011,20
IPOs,2011-08,2011,10
IPOs,2011-09,2011,7
IPOs,2011-10,2011,12
IPOs,2011-11,2011,19
IPOs,2011-12,2011,25
IPOs,2012-01,2012,13
IPOs,2012-02,2012,33
IPOs,2012-03,2012,30
IPOs,2012-04,2012,28
IPOs,2012-05,2012,20
IPOs,2012-06,2012,27
IPOs,2012-07,2012,20
IPOs,2012-08,2012,12
IPOs,2012-09,2012,12
IPOs,2012-10,2012,30
IPOs,2012-11,2012,19
IPOs,2012-12,2012,11
IPOs,2013-01,2013,28
IPOs,2013-02,2013,15
IPOs,2013-03,2013,18
IPOs,2013-04,2013,26
IPOs,2013-05,2013,29
IPOs,2013-06,2013,39
IPOs,2013-07,2013,28
IPOs,2013-08,2013,26
IPOs,2013-09,2013,27
IPOs,2013-10,2013,44
IPOs,2013-11,2013,49
IPOs,2013-12,2013,25
IPOs,2014-01,2014,29
IPOs,2014-02,2014,27
IPOs,2014-03,2014,33
IPOs,2014-04,2014,56
IPOs,2014-05,2014,31
IPOs,2014-06,2014,26
IPOs,2014-07,2014,39
IPOs,2014-08,2014,18
IPOs,2014-09,2014,31
IPOs,2014-10,2014,27
IPOs,2014-11,2014,22
IPOs,2014-12,2014,32
IPOs,2015-01,2015,12
IPOs,2015-02,2015,13
IPOs,2015-03,2015,10
IPOs,2015-04,2015,35
IPOs,2015-05,2015,18
IPOs,2015-06,2015,29
IPOs,2015-07,2015,13
IPOs,2015-08,2015,9
IPOs,2016-01,2016,1
Profiles,2007-05,2007,42
Profiles,2007-06,2007,297
Profiles,2007-07,2007,1028
Profiles,2007-08,2007,1496
Profiles,2007-09,2007,486
Profiles,2007-10,2007,495
Profiles,2007-11,2007,885
Profiles,2007-12,2007,973
Profiles,2008-01,2008,808
Profiles,2008-02,2008,2975
Profiles,2008-03,2008,2639
Profiles,2008-04,2008,2164
Profiles,2008-05,2008,3104
Profiles,2008-06,2008,3283
Profiles,2008-07,2008,2997
Profiles,2008-08,2008,2544
Profiles,2008-09,2008,2355
Profiles,2008-10,2008,3045
Profiles,2008-11,2008,4443
Profiles,2008-12,2008,4481
Profiles,2009-01,2009,4161
Profiles,2009-02,2009,2663
Profiles,2009-03,2009,2945
Profiles,2009-04,2009,3114
Profiles,2009-05,2009,3423
Profiles,2009-06,2009,5765
Profiles,2009-07,2009,4283
Profiles,2009-08,2009,3707
Profiles,2009-09,2009,3643
Profiles,2009-10,2009,3219
Profiles,2009-11,2009,3291
Profiles,2009-12,2009,4577
Profiles,2010-01,2010,4385
Profiles,2010-02,2010,3488
Profiles,2010-03,2010,4357
Profiles,2010-04,2010,3874
Profiles,2010-05,2010,3931
Profiles,2010-06,2010,3674
Profiles,2010-07,2010,4664
Profiles,2010-08,2010,5220
Profiles,2010-09,2010,4614
Profiles,2010-10,2010,5608
Profiles,2010-11,2010,4653
Profiles,2010-12,2010,4480
Profiles,2011-01,2011,4753
Profiles,2011-02,2011,4953
Profiles,2011-03,2011,5020
Profiles,2011-04,2011,4434
Profiles,2011-05,2011,4805
Profiles,2011-06,2011,5292
Profiles,2011-07,2011,5641
Profiles,2011-08,2011,5019
Profiles,2011-09,2011,4527
Profiles,2011-10,2011,4430
Profiles,2011-11,2011,4230
Profiles,2011-12,2011,3936
Profiles,2012-01,2012,3902
Profiles,2012-02,2012,3929
Profiles,2012-03,2012,5152
Profiles,2012-04,2012,5239
Profiles,2012-05,2012,5619
Profiles,2012-06,2012,5279
Profiles,2012-07,2012,6353
Profiles,2012-08,2012,5875
Profiles,2012-09,2012,5178
Profiles,2012-10,2012,5713
Profiles,2012-11,2012,5584
Profiles,2012-12,2012,5696
Profiles,2013-01,2013,6430
Profiles,2013-02,2013,6806
Profiles,2013-03,2013,7264
Profiles,2013-04,2013,13518
Profiles,2013-05,2013,21199
Profiles,2013-06,2013,19921
Profiles,2013-07,2013,19123
Profiles,2013-08,2013,28544
Profiles,2013-09,2013,18537
Profiles,2013-10,2013,17750
Profiles,2013-11,2013,17317
Profiles,2013-12,2013,19334
Profiles,2014-01,2014,20684
Profiles,2014-02,2014,20623
Profiles,2014-03,2014,21767
Profiles,2014-04,2014,25768
Profiles,2014-05,2014,12597
Profiles,2014-06,2014,17906
Profiles,2014-07,2014,18644
Profiles,2014-08,2014,19167
Profiles,2014-09,2014,19871
Profiles,2014-10,2014,18193
Profiles,2014-11,2014,18584
Profiles,2014-12,2014,16190
Profiles,2015-01,2015,17521
Profiles,2015-02,2015,17494
Profiles,2015-03,2015,26262
Profiles,2015-04,2015,22547
Profiles,2015-05,2015,19272
Profiles,2015-06,2015,21022
Profiles,2015-07,2015,23853
Profiles,2015-08,2015,24529
Profiles: Organizations,2007-05,2007,13
Profiles: Organizations,2007-06,2007,96
Profiles: Organizations,2007-07,2007,257
Profiles: Organizations,2007-08,2007,519
Profiles: Organizations,2007-09,2007,218
Profiles: Organizations,2007-10,2007,151
Profiles: Organizations,2007-11,2007,311
Profiles: Organizations,2007-12,2007,228
Profiles: Organizations,2008-01,2008,237
Profiles: Organizations,2008-02,2008,705
Profiles: Organizations,2008-03,2008,823
Profiles: Organizations,2008-04,2008,788
Profiles: Organizations,2008-05,2008,975
Profiles: Organizations,2008-06,2008,1189
Profiles: Organizations,2008-07,2008,1140
Profiles: Organizations,2008-08,2008,1008
Profiles: Organizations,2008-09,2008,989
Profiles: Organizations,2008-10,2008,1063
Profiles: Organizations,2008-11,2008,1119
Profiles: Organizations,2008-12,2008,1429
Profiles: Organizations,2009-01,2009,1696
Profiles: Organizations,2009-02,2009,877
Profiles: Organizations,2009-03,2009,992
Profiles: Organizations,2009-04,2009,1220
Profiles: Organizations,2009-05,2009,1307
Profiles: Organizations,2009-06,2009,2224
Profiles: Organizations,2009-07,2009,2274
Profiles: Organizations,2009-08,2009,1884
Profiles: Organizations,2009-09,2009,1788
Profiles: Organizations,2009-10,2009,1357
Profiles: Organizations,2009-11,2009,1494
Profiles: Organizations,2009-12,2009,1985
Profiles: Organizations,2010-01,2010,2041
Profiles: Organizations,2010-02,2010,1616
Profiles: Organizations,2010-03,2010,2123
Profiles: Organizations,2010-04,2010,1985
Profiles: Organizations,2010-05,2010,1809
Profiles: Organizations,2010-06,2010,1668
Profiles: Organizations,2010-07,2010,2339
Profiles: Organizations,2010-08,2010,2185
Profiles: Organizations,2010-09,2010,2081
Profiles: Organizations,2010-10,2010,2591
